Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
AIM/CGE 2.0,SSP1-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C6,
AIM/CGE 2.0,SSP1-Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C7,
AIM/CGE 2.0,SSP4-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3,
AIM/CGE 2.0,SSP4-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,
AIM/CGE 2.0,SSP4-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C6,
AIM/CGE 2.0,SSP4-Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C7,
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,
AIM/CGE 2.1,CD-LINKS_INDCi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C7,
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4,
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3,
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,
AIM/CGE 2.1,CD-LINKS_NPi2020_400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1,
AIM/CGE 2.1,CO_Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3,
